index,date,route_id,route_name,direction,stop_id,stop_name,ons,offs,vehicle_id
361,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167010,FORREST PARK RD SE/FOREST VALLEY DR,,,2409
362,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167012,CONLEY RD SE/900,,1,2409
363,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212352,FOREST PKY/ASH ST,,,2409
364,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212353,FOREST PKY/BARTLETT DR,,1,2409
365,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212581,FOREST PKY/MAPLE DR,,,2409
366,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212584,MAIN ST/JONESBORO RD,,1,2409
367,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167016,CONLEY RD SE/JONESBORO RD SE,,4,2409
368,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167034,FORREST PARK RD/CONLEY RD,,1,2409
369,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,210010,HUTCHENS RD/860,,,2409
370,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212585,MAIN ST/PHILLIPS DR,,,2409
371,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212586,MAIN ST/COLLEGE ST,,,2409
372,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212675,JONESBORO RD SE/HARPER RD SE,,,2409
373,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212835,JONESBORO RD SE/CLAIRE DR SE,,1,2409
374,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,210601,BROWNS MILL RD/HARPER RD,,,2409
375,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211148,HANK AARON DR SE/BASS ST SE,,,2409
376,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211169,UNIVERSITY AVE SW/71,,1,2409
377,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211194,JONESBORO RD SE/CONSTITUTION RD SE,,,2409
378,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211206,BROWNS MILL RD SE/GREENDALE DR SE,,,2409
379,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211225,HUTCHENS RD SE/916,,,2409
380,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211309,UNIVERSITY AVE SW/PRYOR RD SW,1,,2409
381,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211406,HARPER RD SE/BURROUGHS AVE SE,,1,2409
382,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211407,JONESBORO RD SE/MCWILLIAMS RD SE,,,2409
383,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,901265,PEACHTREE ST/MARTIN L KING JR DR,1,,2409
384,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211650,JONESBORO RD SE/2491,,,2409
385,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212069,JONESBORO RD/RUSKIN DR,,,2409
